Nama,KloroGreen,KloroRedEdge,CaroGreen,CaroRedEdge,Antho
K-23,-0.024140572,-0.11355469,0.641876762,0.717071635,0.075194873
K-24,-0.052061747,-0.138891276,0.622150044,0.712841936,0.090691892
K-25,0.081565622,-0.093070231,0.857574919,0.982806443,0.125231523
K-26,-0.02320505,-0.117743816,0.632585496,0.715804777,0.083219281
K-27,-0.048899297,-0.13460913,0.665722068,0.750447004,0.084724936
K-28,-0.000860558,-0.123837349,0.788626211,0.896977577,0.108351366
K-29,-0.05627578,-0.1374594,0.618897362,0.705196384,0.086299021
K-3,-0.046528572,-0.13812236,0.624737183,0.715251453,0.09051427
K-30,-0.109577796,-0.157397548,0.474118203,0.539965741,0.065847538
K-31,0.077982203,-0.093755463,0.766891857,0.896269957,0.1293781
K-32,-0.058328477,-0.140689355,0.699469833,0.785974344,0.086504512
K-33,-0.000229238,-0.0991648,0.693628675,0.759993834,0.066365159
K-34,0.023013818,-0.116020114,0.720825585,0.837859577,0.117033992
K-35,-0.026783467,-0.117534724,0.750894897,0.827426604,0.076531707
K-36,-0.010500137,-0.126229701,0.794292088,0.895649971,0.101357883
K-37,0.148031912,-0.039094692,0.880430261,0.978577508,0.098147248
K-38,0.014567912,-0.113865294,0.758990589,0.862679402,0.103688813
K-39,0.039453553,-0.110862278,0.900419191,1.016431011,0.11601182
K-4,-0.015920102,-0.130981527,0.658396968,0.765736574,0.107339606
K-40,0.001070807,-0.124015463,0.741809338,0.844798641,0.102989304
K-41,-0.019536467,-0.122883766,0.744137511,0.833849753,0.089712242
K-42,0.050348153,-0.107672021,0.941966553,1.063413418,0.121446865
K-43,-0.059500717,-0.137516252,0.625196534,0.701836254,0.076639721
K-44,-0.001848126,-0.11843741,0.757865031,0.857931704,0.100066674
K-45,-0.04119898,-0.127342112,0.675741832,0.75479714,0.079055308
K-46,0.019262475,-0.114755236,0.805347972,0.917123202,0.11177523
K-47,-0.084128624,-0.14099983,0.590363058,0.656188658,0.0658256
K-48,-0.084023137,-0.151526193,0.638295924,0.718682906,0.080386981
K-49,-0.044277151,-0.14087116,0.668467846,0.768313674,0.099845828
K-5,0.066442395,-0.094579049,0.861722892,0.982709629,0.120986736
K-50,-0.007074715,-0.123336376,0.649709803,0.755650308,0.105940505
K-6,-0.050486787,-0.133570292,0.690304289,0.768240772,0.077936482
K-7,0.001644516,-0.119599235,0.836472347,0.939646133,0.103173786
K-8,-0.000988423,-0.123707321,0.786922516,0.897825599,0.110903083
K-9,-0.095214091,-0.156240981,0.5983036,0.67514588,0.07684228
H-100,0.593508058,0.071578349,0.736618802,1.05792693,0.321308128
H-64,0.960572298,0.190321606,0.903115078,1.300101619,0.396986541
H-69,0.73233657,0.094805047,0.907428621,1.293630259,0.386201638
H-70,0.826792362,0.132261574,0.801583952,1.209151666,0.407567714
H-71,0.815093184,0.120571647,0.953399189,1.356242061,0.402842872
H-72,0.832320008,0.116839571,0.781733966,1.209567272,0.427833306
H-73,0.804330185,0.117291151,0.870843702,1.280209545,0.409365844
H-74,1.000103774,0.207929696,0.726578345,1.152849424,0.426271079
H-75,0.976938759,0.182361254,0.755479279,1.192842125,0.437362847
H-76,0.903802727,0.089341716,0.82194357,1.375258892,0.553315322
H-77,1.042335132,0.242702867,0.675198935,1.072704423,0.397505488
H-78,1.178543849,0.261127705,0.796174107,1.270841746,0.474667638
H-79,1.160228573,0.280657515,0.61933046,1.065807483,0.446477022
H-80,1.055265015,0.246939789,0.649382724,1.057528724,0.408146
H-81,1.087549273,0.251071258,0.737310545,1.15360013,0.416289586
H-82,1.178073292,0.265308973,0.719937452,1.198705951,0.478768499
H-83,1.14104009,0.2373665,0.625588604,1.125102516,0.499513913
H-84,0.903454247,0.201687061,0.651746186,1.011024227,0.359278041
H-85,0.733132394,0.164414657,0.539183164,0.823084231,0.283901067
H-86,0.819616247,0.12299583,0.844972961,1.253293207,0.408320246
H-87,0.957664827,0.177859551,0.81863304,1.261359617,0.442726577
H-88,1.019088706,0.201136247,0.759394097,1.216793436,0.457399339
H-89,1.117120168,0.218806215,0.759169446,1.272693816,0.513524369
H-90,0.844531922,0.120756032,0.89160458,1.318188736,0.426584156
H-91,1.130982727,0.187001077,0.71119279,1.303074266,0.591881475
H-92,0.808733002,0.122370132,0.844147763,1.253715948,0.409568186
H-93,0.92977533,0.145248446,0.926038328,1.392331418,0.46629309
H-94,0.74018917,0.042177439,0.643575548,1.148727493,0.505151945
H-95,0.869442988,0.141064471,0.904348067,1.324227216,0.41987915
H-96,0.857066662,0.119951755,0.961015563,1.406392585,0.445377023
H-97,0.975687521,0.20398604,0.794920737,1.203769253,0.408848516
H-98,1.079605705,0.204480793,0.743944136,1.250985389,0.507041253
H-99,0.827152469,0.123939152,0.8196189,1.241910188,0.422291288
M-1,1.020488163,-0.096448342,0.360562763,1.483025441,1.122462678
M-10,1.453226992,-0.064551093,0.399538631,1.921965053,1.522426422
M-11,1.303219114,-0.090864854,0.312295491,1.714480888,1.402185397
M-12,1.41818516,-0.094472732,0.277861905,1.834459927,1.556598023
M-13,1.573301665,-0.077453755,0.157148178,1.838213495,1.681065317
M-14,1.486810403,-0.083703714,0.434581728,2.033683643,1.599101915
M-15,1.429036374,-0.088034218,0.274017042,1.814233562,1.54021652
M-16,1.436057875,-0.079996599,0.220821457,1.780100462,1.559279005
M-17,1.624588484,-0.083552059,0.233749841,1.98206253,1.748312689
M-18,1.338915739,-0.094820673,0.303182923,1.772739031,1.469556108
M-19,1.427802824,-0.090717681,0.220521597,1.78631921,1.565797612
M-2,1.634074436,-0.062719446,0.339964737,2.06627185,1.726307113
M-20,1.387422779,-0.063977173,0.214690126,1.690613233,1.475923107
M-21,0.537296882,-0.081113133,0.361340176,0.973865448,0.612525272
M-22,1.736139691,-0.090370209,0.298413595,2.185093811,1.886680216
M-23,1.065975711,-0.106122332,0.305755676,1.490106153,1.184350477
M-24,1.074477064,-0.088778419,0.308023398,1.48229923,1.174275832
M-25,0.943282599,-0.082399493,0.338370068,1.367859696,1.029489628
M-26,1.089819418,-0.086354894,0.254613321,1.447519697,1.192906376
M-27,1.320907922,-0.062527165,0.276198998,1.666413661,1.390214662
M-28,1.509160146,-0.091638352,0.286806962,1.927795292,1.640988329
M-29,1.34878661,-0.06480815,0.272705924,1.697154746,1.424448822
M-3,1.401220541,-0.101336078,0.253427846,1.786102788,1.532674942
M-30,1.171049393,-0.088089218,0.24630674,1.542576557,1.296269816
M-31,1.050452506,-0.082186162,0.270184696,1.416189187,1.146004491
